iter	RMSE
453	3.57742442
454	3.57599365
455	3.574978796
456	3.573846747
457	3.572798579
458	3.570375
459	3.569184646
460	3.568461415
461	3.567678085
462	3.56648766
463	3.564843037
464	3.562788863
465	3.561043291
466	3.559849012
467	3.558638594
468	3.55732171
469	3.55590833
470	3.555105198
471	3.553492039
472	3.552872593
473	3.551443257
474	3.549485413
475	3.548481103
476	3.546843997
477	3.546050619
478	3.544798266
479	3.543805925
480	3.54329123
481	3.541348104
482	3.540747071
483	3.539484432
484	3.538947308
485	3.537925399
486	3.535566381
487	3.534682359
488	3.53333151
489	3.532265478
490	3.531250195
491	3.530603263
492	3.529476603
493	3.529083603
494	3.528552942
495	3.527357135
496	3.525802997
497	3.524798495
498	3.523975822
499	3.522762779
